Test_Number,Starting_Num,End_Num,Steps,Sequence
1,169,1.0,49,169(Starting);508(Odd);254.0(Even);127.0(Even);382.0(Odd);191.0(Even);574.0(Odd);287.0(Even);862.0(Odd);431.0(Even);1294.0(Odd);647.0(Even);1942.0(Odd);971.0(Even);2914.0(Odd);1457.0(Even);4372.0(Odd);2186.0(Even);1093.0(Even);3280.0(Odd);1640.0(Even);820.0(Even);410.0(Even);205.0(Even);616.0(Odd);308.0(Even);154.0(Even);77.0(Even);232.0(Odd);116.0(Even);58.0(Even);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
2,206,1.0,88,206(Starting);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
3,243,1.0,96,243(Starting);730(Odd);365.0(Even);1096.0(Odd);548.0(Even);274.0(Even);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
4,411,1.0,133,411(Starting);1234(Odd);617.0(Even);1852.0(Odd);926.0(Even);463.0(Even);1390.0(Odd);695.0(Even);2086.0(Odd);1043.0(Even);3130.0(Odd);1565.0(Even);4696.0(Odd);2348.0(Even);1174.0(Even);587.0(Even);1762.0(Odd);881.0(Even);2644.0(Odd);1322.0(Even);661.0(Even);1984.0(Odd);992.0(Even);496.0(Even);248.0(Even);124.0(Even);62.0(Even);31.0(Even);94.0(Odd);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
5,686,1.0,126,686(Starting);343.0(Even);1030.0(Odd);515.0(Even);1546.0(Odd);773.0(Even);2320.0(Odd);1160.0(Even);580.0(Even);290.0(Even);145.0(Even);436.0(Odd);218.0(Even);109.0(Even);328.0(Odd);164.0(Even);82.0(Even);41.0(Even);124.0(Odd);62.0(Even);31.0(Even);94.0(Odd);47.0(Even);142.0(Odd);71.0(Even);214.0(Odd);107.0(Even);322.0(Odd);161.0(Even);484.0(Odd);242.0(Even);121.0(Even);364.0(Odd);182.0(Even);91.0(Even);274.0(Odd);137.0(Even);412.0(Odd);206.0(Even);103.0(Even);310.0(Odd);155.0(Even);466.0(Odd);233.0(Even);700.0(Odd);350.0(Even);175.0(Even);526.0(Odd);263.0(Even);790.0(Odd);395.0(Even);1186.0(Odd);593.0(Even);1780.0(Odd);890.0(Even);445.0(Even);1336.0(Odd);668.0(Even);334.0(Even);167.0(Even);502.0(Odd);251.0(Even);754.0(Odd);377.0(Even);1132.0(Odd);566.0(Even);283.0(Even);850.0(Odd);425.0(Even);1276.0(Odd);638.0(Even);319.0(Even);958.0(Odd);479.0(Even);1438.0(Odd);719.0(Even);2158.0(Odd);1079.0(Even);3238.0(Odd);1619.0(Even);4858.0(Odd);2429.0(Even);7288.0(Odd);3644.0(Even);1822.0(Even);911.0(Even);2734.0(Odd);1367.0(Even);4102.0(Odd);2051.0(Even);6154.0(Odd);3077.0(Even);9232.0(Odd);4616.0(Even);2308.0(Even);1154.0(Even);577.0(Even);1732.0(Odd);866.0(Even);433.0(Even);1300.0(Odd);650.0(Even);325.0(Even);976.0(Odd);488.0(Even);244.0(Even);122.0(Even);61.0(Even);184.0(Odd);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
6,869,1.0,28,869(Starting);2608(Odd);1304.0(Even);652.0(Even);326.0(Even);163.0(Even);490.0(Odd);245.0(Even);736.0(Odd);368.0(Even);184.0(Even);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
7,304,1.0,24,304(Starting);152.0(Even);76.0(Even);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
8,847,1.0,33,847(Starting);2542(Odd);1271.0(Even);3814.0(Odd);1907.0(Even);5722.0(Odd);2861.0(Even);8584.0(Odd);4292.0(Even);2146.0(Even);1073.0(Even);3220.0(Odd);1610.0(Even);805.0(Even);2416.0(Odd);1208.0(Even);604.0(Even);302.0(Even);151.0(Even);454.0(Odd);227.0(Even);682.0(Odd);341.0(Even);1024.0(Odd);512.0(Even);256.0(Even);128.0(Even);64.0(Even);32.0(Even);16.0(Even);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
9,74,1.0,22,74(Starting);37.0(Even);112.0(Odd);56.0(Even);28.0(Even);14.0(Even);7.0(Even);22.0(Odd);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
10,241,1.0,21,241(Starting);724(Odd);362.0(Even);181.0(Even);544.0(Odd);272.0(Even);136.0(Even);68.0(Even);34.0(Even);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
11,878,1.0,54,878(Starting);439.0(Even);1318.0(Odd);659.0(Even);1978.0(Odd);989.0(Even);2968.0(Odd);1484.0(Even);742.0(Even);371.0(Even);1114.0(Odd);557.0(Even);1672.0(Odd);836.0(Even);418.0(Even);209.0(Even);628.0(Odd);314.0(Even);157.0(Even);472.0(Odd);236.0(Even);118.0(Even);59.0(Even);178.0(Odd);89.0(Even);268.0(Odd);134.0(Even);67.0(Even);202.0(Odd);101.0(Even);304.0(Odd);152.0(Even);76.0(Even);38.0(Even);19.0(Even);58.0(Odd);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
12,575,1.0,43,575(Starting);1726(Odd);863.0(Even);2590.0(Odd);1295.0(Even);3886.0(Odd);1943.0(Even);5830.0(Odd);2915.0(Even);8746.0(Odd);4373.0(Even);13120.0(Odd);6560.0(Even);3280.0(Even);1640.0(Even);820.0(Even);410.0(Even);205.0(Even);616.0(Odd);308.0(Even);154.0(Even);77.0(Even);232.0(Odd);116.0(Even);58.0(Even);29.0(Even);88.0(Odd);44.0(Even);22.0(Even);11.0(Even);34.0(Odd);17.0(Even);52.0(Odd);26.0(Even);13.0(Even);40.0(Odd);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
13,981,1.0,23,981(Starting);2944(Odd);1472.0(Even);736.0(Even);368.0(Even);184.0(Even);92.0(Even);46.0(Even);23.0(Even);70.0(Odd);35.0(Even);106.0(Odd);53.0(Even);160.0(Odd);80.0(Even);40.0(Even);20.0(Even);10.0(Even);5.0(Even);16.0(Odd);8.0(Even);4.0(Even);2.0(Even);1.0(Even);
